metric,class,mean,std
precision,Cammeo,0.9176434176445486,0.008370320709562588
recall,Cammeo,0.9008179959100204,0.009337791457530378
f1-score,Cammeo,0.9090845669284263,0.004060230378679677
precision,Osmancik,0.926903030178531,0.006086981087281937
recall,Osmancik,0.9394495412844037,0.00701366663069095
f1-score,Osmancik,0.9330977602651919,0.0029872178710490032
