,precision,recall,f1-score,support
Cammeo,0.9353448275862069,0.8875255623721882,0.9108079748163693,489.0
Osmancik,0.9189985272459499,0.9541284403669725,0.9362340585146287,654.0
accuracy,0.9256342957130359,0.9256342957130359,0.9256342957130359,0.9256342957130359
macro avg,0.9271716774160783,0.9208270013695803,0.923521016665499,1143.0
weighted avg,0.9259918263416503,0.9256342957130359,0.9253562326804653,1143.0
